Code,Name,Category Code,Unit,Cost,Price,Alert Quantity, Tax Rate Name,Tax Method,Subcategory Code,Product Variants Separated by |,Supplier1(No),Supplier2(No),Supplier3(No),Supplier4(No),Supplier5(No),Custom Field 1,Custom Field 2,Custom Field 3,Custom Field 4,Custom Field 5,Custom Field 6,Image
SY00388,388 SHIRT,SY,UNIT,,14.99,1,,,,,,,,,,,,,,,,
SY00389,389 SHIRT,SY,UNIT,,14.99,1,,,,,,,,,,,,,,,,
SY0G391,391 GRAY SHIRT,SY,UNIT,,17.99,1,,,,,,,,,,,,,,,,
SY0W391,391 WHITE SHIRT,SY,UNIT,,17.99,1,,,,,,,,,,,,,,,,
SY0C390,390 COFFEE SHIRT,SY,UNIT,,15.99,1,,,,,,,,,,,,,,,,
SY0B390,390 BLUE SHIRT,SY,UNIT,,15.99,1,,,,,,,,,,,,,,,,
SY0Y392,392 YELLOW SHIRT,SY,UNIT,,10.99,1,,,,,,,,,,,,,,,,
SY0B392,392 BLUE SHIRT,SY,UNIT,,10.99,1,,,,,,,,,,,,,,,,
SY0P392,392 PINK SHIRT,SY,UNIT,,10.99,1,,,,,,,,,,,,,,,,
