Product Code,Net Unit Cost,Quantity,Warehouse Code,Supplier No,Reference No,Date,Shop ID,Purchase Status,Payment Term,Payment Status,Shipping,Order Discount,Order Tax
BG0G983,5,10,WH1,7,,,,received,,PAID,,,
BGBB983,5,10,WH1,7,,,,received,,PAID,,,
BGBB2006,6.5,10,WH1,7,,,,received,,PAID,,,
BGDG2006,6.5,10,WH1,7,,,,received,,PAID,,,
BG001705,4.2,5,WH1,7,,,,received,,PAID,,,
BG001706,5.6,10,WH1,7,,,,received,,PAID,,,
BG0G1707,4.5,5,WH1,7,,,,received,,PAID,,,
BGBB1707,4.5,5,WH1,7,,,,received,,PAID,,,
